/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu601-18
incept 1 7 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99998989  29.99998989] [130.00001011  30.00001011]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99998979  29.99998978] [130.00001022  30.00001021]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99998968  29.99998967] [130.00001033  30.00001032]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99998957  29.99998956] [130.00001044  30.00001043]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99998946  29.99998944] [130.00001056  30.00001054]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99998934  29.99998934] [130.00001066  30.00001066]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99998922  29.99998923] [130.00001076  30.00001077]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.9999891   29.99998912] [130.00001087  30.00001089]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99998898  29.99998901] [130.00001098  30.00001101]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99998886  29.9999889 ] [130.00001109  30.00001113]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99998874  29.99998879] [130.00001119  30.00001125]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99998862  29.99998868] [130.0000113   30.00001137]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99998849  29.99998856] [130.00001142  30.00001149]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99998836  29.99998845] [130.00001153  30.00001161]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99998824  29.99998833] [130.00001164  30.00001174]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99998811  29.99998822] [130.00001176  30.00001186]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99998798  29.9999881 ] [130.00001187  30.00001199]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99998785  29.99998798] [130.00001199  30.00001212]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99998771  29.99998786] [130.00001211  30.00001225]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99998758  29.99998773] [130.00001223  30.00001238]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99998744  29.99998761] [130.00001235  30.00001251]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.99998731  29.99998748] [130.00001247  30.00001265]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99998717  29.99998736] [130.0000126   30.00001279]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99998703  29.99998723] [130.00001273  30.00001294]
