/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu501-10
vgg 1 6 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999018  29.99999018] [130.00000982  30.00000982]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999036  29.99999036] [130.00000964  30.00000964]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999053  29.99999053] [130.00000947  30.00000947]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.9999907  29.9999907] [130.0000093  30.0000093]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999087  29.99999087] [130.00000913  30.00000913]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999103  29.99999103] [130.00000897  30.00000897]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.9999912  29.9999912] [130.0000088  30.0000088]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999135  29.99999135] [130.00000865  30.00000865]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999151  29.99999151] [130.00000849  30.00000849]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999166  29.99999166] [130.00000834  30.00000834]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999181  29.99999181] [130.00000819  30.00000819]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999196  29.99999196] [130.00000804  30.00000804]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999211  29.99999211] [130.00000789  30.00000789]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999225  29.99999225] [130.00000775  30.00000775]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999239  29.99999239] [130.00000761  30.00000761]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999253  29.99999253] [130.00000747  30.00000747]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999266  29.99999266] [130.00000734  30.00000734]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999279  29.99999279] [130.00000721  30.00000721]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999292  29.99999292] [130.00000708  30.00000708]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999305  29.99999305] [130.00000695  30.00000695]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999318  29.99999318] [130.00000682  30.00000682]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.9999933  29.9999933] [130.0000067  30.0000067]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999342  29.99999342] [130.00000658  30.00000658]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999354  29.99999354] [130.00000646  30.00000646]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999366  29.99999366] [130.00000634  30.00000634]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999377  29.99999377] [130.00000623  30.00000623]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99999388  29.99999388] [130.00000612  30.00000612]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999399  29.99999399] [130.00000601  30.00000601]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.9999941  29.9999941] [130.0000059  30.0000059]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999421  29.99999421] [130.00000579  30.00000579]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999431  29.99999431] [130.00000569  30.00000569]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999441  29.99999441] [130.00000559  30.00000559]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99999451  29.99999451] [130.00000549  30.00000549]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99999461  29.99999461] [130.00000539  30.00000539]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99999471  29.99999471] [130.00000529  30.00000529]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999481  29.99999481] [130.00000519  30.00000519]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.9999949  29.9999949] [130.0000051  30.0000051]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999499  29.99999499] [130.00000501  30.00000501]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999508  29.99999508] [130.00000492  30.00000492]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.99999517  29.99999517] [130.00000483  30.00000483]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999526  29.99999526] [130.00000474  30.00000474]
