/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
dgpu501-10
resnet 1 0 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999007  29.99999007] [130.00000993  30.00000993]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999014  29.99999014] [130.00000986  30.00000986]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.9999902   29.99999021] [130.00000979  30.00000979]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999027  29.99999027] [130.00000972  30.00000973]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999034  29.99999034] [130.00000965  30.00000966]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.9999904   29.99999041] [130.00000959  30.00000959]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999047  29.99999047] [130.00000952  30.00000953]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999053  29.99999054] [130.00000945  30.00000946]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.9999906   29.99999061] [130.00000939  30.00000939]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999066  29.99999067] [130.00000932  30.00000933]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999073  29.99999074] [130.00000926  30.00000926]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999079  29.9999908 ] [130.00000919  30.0000092 ]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999085  29.99999086] [130.00000913  30.00000914]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999092  29.99999093] [130.00000906  30.00000907]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999098  29.99999099] [130.000009    30.00000901]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999104  29.99999105] [130.00000894  30.00000895]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.9999911   29.99999111] [130.00000887  30.00000889]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999116  29.99999117] [130.00000881  30.00000882]
iteration:  19,   current loss = 0.0000 , boundaries:  [129.99999122  29.99999124] [130.00000875  30.00000876]
iteration:  20,   current loss = 0.0000 , boundaries:  [129.99999128  29.9999913 ] [130.00000869  30.0000087 ]
iteration:  21,   current loss = 0.0000 , boundaries:  [129.99999134  29.99999136] [130.00000863  30.00000864]
iteration:  22,   current loss = 0.0000 , boundaries:  [129.9999914   29.99999142] [130.00000857  30.00000858]
iteration:  23,   current loss = 0.0000 , boundaries:  [129.99999146  29.99999148] [130.00000851  30.00000852]
iteration:  24,   current loss = 0.0000 , boundaries:  [129.99999152  29.99999153] [130.00000845  30.00000846]
iteration:  25,   current loss = 0.0000 , boundaries:  [129.99999158  29.99999159] [130.00000839  30.0000084 ]
iteration:  26,   current loss = 0.0000 , boundaries:  [129.99999163  29.99999165] [130.00000833  30.00000835]
iteration:  27,   current loss = 0.0000 , boundaries:  [129.99999169  29.99999171] [130.00000827  30.00000829]
iteration:  28,   current loss = 0.0000 , boundaries:  [129.99999175  29.99999177] [130.00000821  30.00000823]
iteration:  29,   current loss = 0.0000 , boundaries:  [129.9999918   29.99999182] [130.00000816  30.00000817]
iteration:  30,   current loss = 0.0000 , boundaries:  [129.99999186  29.99999188] [130.0000081   30.00000812]
iteration:  31,   current loss = 0.0000 , boundaries:  [129.99999192  29.99999194] [130.00000804  30.00000806]
iteration:  32,   current loss = 0.0000 , boundaries:  [129.99999197  29.99999199] [130.00000798  30.00000801]
iteration:  33,   current loss = 0.0000 , boundaries:  [129.99999203  29.99999205] [130.00000793  30.00000795]
iteration:  34,   current loss = 0.0000 , boundaries:  [129.99999208  29.9999921 ] [130.00000787  30.0000079 ]
iteration:  35,   current loss = 0.0000 , boundaries:  [129.99999213  29.99999216] [130.00000782  30.00000784]
iteration:  36,   current loss = 0.0000 , boundaries:  [129.99999219  29.99999221] [130.00000776  30.00000779]
iteration:  37,   current loss = 0.0000 , boundaries:  [129.99999224  29.99999227] [130.00000771  30.00000773]
iteration:  38,   current loss = 0.0000 , boundaries:  [129.99999229  29.99999232] [130.00000765  30.00000768]
iteration:  39,   current loss = 0.0000 , boundaries:  [129.99999235  29.99999237] [130.0000076   30.00000763]
iteration:  40,   current loss = 0.0000 , boundaries:  [129.9999924   29.99999242] [130.00000755  30.00000757]
iteration:  41,   current loss = 0.0000 , boundaries:  [129.99999245  29.99999248] [130.0000075   30.00000752]
iteration:  42,   current loss = 0.0000 , boundaries:  [129.9999925   29.99999253] [130.00000744  30.00000747]
iteration:  43,   current loss = 0.0000 , boundaries:  [129.99999256  29.99999258] [130.00000739  30.00000742]
iteration:  44,   current loss = 0.0000 , boundaries:  [129.99999261  29.99999263] [130.00000734  30.00000737]
iteration:  45,   current loss = 0.0000 , boundaries:  [129.99999266  29.99999268] [130.00000729  30.00000731]
iteration:  46,   current loss = 0.0000 , boundaries:  [129.99999271  29.99999273] [130.00000724  30.00000726]
iteration:  47,   current loss = 0.0000 , boundaries:  [129.99999276  29.99999278] [130.00000719  30.00000721]
iteration:  48,   current loss = 0.0000 , boundaries:  [129.99999281  29.99999283] [130.00000714  30.00000716]
iteration:  49,   current loss = 0.0000 , boundaries:  [129.99999286  29.99999288] [130.00000709  30.00000711]
iteration:  50,   current loss = 0.0000 , boundaries:  [129.99999291  29.99999293] [130.00000704  30.00000706]
iteration:  51,   current loss = 0.0000 , boundaries:  [129.99999296  29.99999298] [130.00000699  30.00000702]
iteration:  52,   current loss = 0.0000 , boundaries:  [129.999993    29.99999303] [130.00000694  30.00000697]
iteration:  53,   current loss = 0.0000 , boundaries:  [129.99999305  29.99999308] [130.00000689  30.00000692]
iteration:  54,   current loss = 0.0000 , boundaries:  [129.9999931   29.99999312] [130.00000685  30.00000687]
iteration:  55,   current loss = 0.0000 , boundaries:  [129.99999315  29.99999317] [130.0000068   30.00000682]
iteration:  56,   current loss = 0.0000 , boundaries:  [129.99999319  29.99999322] [130.00000675  30.00000678]
iteration:  57,   current loss = 0.0000 , boundaries:  [129.99999324  29.99999327] [130.00000671  30.00000673]
iteration:  58,   current loss = 0.0000 , boundaries:  [129.99999329  29.99999331] [130.00000666  30.00000668]
iteration:  59,   current loss = 0.0000 , boundaries:  [129.99999333  29.99999336] [130.00000661  30.00000664]
