/home/hamdiaj/semantic-robustness/
/home/hamdiaj/semantic-robustness
gpu504-37
alexnet 1 0 1 1 0 600
you asked for custom points ... 
starting the expereimtn
iteration:   0,   current loss = 0.0000 , boundaries:  [129.99999  29.99999] [130.00001  30.00001]
iteration:   1,   current loss = 0.0000 , boundaries:  [129.99999018  29.99999018] [130.00000982  30.00000982]
iteration:   2,   current loss = 0.0000 , boundaries:  [129.99999035  29.99999035] [130.00000965  30.00000965]
iteration:   3,   current loss = 0.0000 , boundaries:  [129.99999052  29.99999052] [130.00000948  30.00000948]
iteration:   4,   current loss = 0.0000 , boundaries:  [129.99999069  29.99999069] [130.00000931  30.00000931]
iteration:   5,   current loss = 0.0000 , boundaries:  [129.99999085  29.99999086] [130.00000914  30.00000914]
iteration:   6,   current loss = 0.0000 , boundaries:  [129.99999102  29.99999102] [130.00000898  30.00000898]
iteration:   7,   current loss = 0.0000 , boundaries:  [129.99999118  29.99999118] [130.00000882  30.00000882]
iteration:   8,   current loss = 0.0000 , boundaries:  [129.99999133  29.99999133] [130.00000867  30.00000867]
iteration:   9,   current loss = 0.0000 , boundaries:  [129.99999149  29.99999149] [130.00000851  30.00000851]
iteration:  10,   current loss = 0.0000 , boundaries:  [129.99999164  29.99999164] [130.00000836  30.00000836]
iteration:  11,   current loss = 0.0000 , boundaries:  [129.99999179  29.99999179] [130.00000821  30.00000821]
iteration:  12,   current loss = 0.0000 , boundaries:  [129.99999193  29.99999193] [130.00000807  30.00000807]
iteration:  13,   current loss = 0.0000 , boundaries:  [129.99999207  29.99999207] [130.00000792  30.00000793]
iteration:  14,   current loss = 0.0000 , boundaries:  [129.99999221  29.99999221] [130.00000778  30.00000779]
iteration:  15,   current loss = 0.0000 , boundaries:  [129.99999235  29.99999235] [130.00000765  30.00000765]
iteration:  16,   current loss = 0.0000 , boundaries:  [129.99999249  29.99999249] [130.00000751  30.00000751]
iteration:  17,   current loss = 0.0000 , boundaries:  [129.99999262  29.99999262] [130.00000738  30.00000738]
iteration:  18,   current loss = 0.0000 , boundaries:  [129.99999275  29.99999275] [130.00000725  30.00000725]
